time (s),total frames,fps
13.582,1,1
14.011,18,17
15.001,264,246
16.0,1044,780
17.0,1899,855
18.0,2948,1049
19.0,3981,1033
20.0,4780,799
21.0,5858,1078
22.0,6945,1087
23.0,7934,989
24.0,8989,1055
25.0,10109,1120
26.0,11164,1055
27.0,12284,1120
28.0,13391,1107
29.0,14520,1129
30.0,15678,1158
31.0,16834,1156
32.0,17946,1112
33.0,19093,1147
34.0,20199,1106
35.0,21299,1100
36.0,22441,1142
37.0,23590,1149
38.0,24719,1129
39.0,25874,1155
40.0,27056,1182
41.0,28175,1119
42.0,29341,1166
43.0,30389,1048
44.0,31518,1129
45.0,32653,1135
46.0,33833,1180
47.001,34956,1123
48.0,36103,1147
49.0,37268,1165
50.0,38391,1123
51.0,39544,1153
52.0,40700,1156
53.0,41850,1150
54.0,42988,1138
55.001,44152,1164
56.0,45305,1153
57.0,46444,1139
58.0,47612,1168
59.0,48795,1183
60.0,49903,1108
