Uptime (s),System (%),Time spent in GC (%),Process (kernel) (%),Process (user + kernel) (%)
10.6,0,0,0,0
11.6,28,0,11,24
12.6,80,0,9,76
13.6,100,0,6,98
14.6,98,1,7,89
15.6,99,1,6,93
16.6,100,1,3,94
17.6,98,1,3,96
18.6,100,0,5,93
19.6,29,0,2,24
20.6,17,0,2,13
21.6,46,0,2,42
22.6,16,0,1,13
23.6,26,0,1,23
24.6,35,0,2,32
25.6,16,0,2,13
26.6,47,0,2,42
27.6,19,0,1,14
28.6,22,0,1,13
29.6,43,0,2,39
30.6,17,0,3,13
31.6,24,0,3,22
32.6,33,0,2,30
33.6,14,0,2,13
34.6,44,0,2,44
35.6,16,0,2,13
36.6,15,0,2,13
37.6,45,0,3,43
38.7,12,0,1,11
39.7,29,0,2,26
40.7,33,0,2,30
41.7,15,0,2,13
42.7,43,0,2,42
43.7,16,0,2,13
44.7,17,0,2,13
45.7,45,0,2,42
46.7,19,0,3,12
47.7,30,0,2,25
48.7,35,0,2,32
49.7,16,0,1,13
50.7,45,0,2,43
51.7,15,0,1,13
52.7,15,0,1,13
53.7,46,0,1,42
54.7,17,0,3,12
55.7,32,0,2,29
56.7,30,0,2,25
57.7,16,0,2,13
58.7,44,0,3,42
