time (s),total frames,fps
25.001,4330,424
26.001,4744,414
27.0,5168,424
28.001,5593,425
29.0,6009,416
30.001,6436,427
31.0,6860,424
32.0,7275,415
33.0,7689,414
34.0,8103,414
35.001,8519,416
36.002,8939,420
37.001,9351,412
38.0,9762,411
39.001,10185,423
40.001,10608,423
41.002,11020,412
42.001,11431,411
43.001,11853,422
44.0,12262,409
45.001,12683,421
46.001,13102,419
47.001,13513,411
48.006,13936,423
49.0,14346,410
50.001,14764,418
51.001,15186,422
52.007,15594,408
53.0,16006,412
54.0,16416,410
55.0,16836,420
