Uptime (s),Used G1 Old Gen (MB),Used G1 Eden Space (MB),Used G1 Survivor Space (MB),Allocated All Pools (MB)
25.7,260.17,187.695,70.779,1242.563
26.7,260.17,278.921,70.779,1242.563
27.7,260.17,371.196,70.779,1242.563
28.7,260.17,466.616,70.779,1242.563
29.7,260.17,562.037,70.779,1242.563
30.7,260.17,656.409,70.779,1242.563
31.7,304.722,75.497,26.214,1242.563
32.7,304.722,171.966,26.214,1242.563
33.7,304.722,267.387,26.214,1242.563
34.7,304.722,360.71,26.214,1242.563
35.7,304.722,454.033,26.214,1242.563
36.7,304.722,546.308,26.214,1242.563
37.7,304.722,638.583,26.214,1242.563
38.7,304.722,11.534,27.263,1242.563
39.7,304.722,105.906,27.263,1242.563
40.7,304.722,200.278,27.263,1242.563
41.7,304.722,295.698,27.263,1242.563
42.7,304.722,391.119,27.263,1242.563
43.7,304.722,483.394,27.263,1242.563
44.7,304.722,576.717,27.263,1242.563
45.7,304.722,670.04,27.263,1242.563
46.7,304.722,46.137,27.263,1242.563
47.7,304.722,138.412,27.263,1242.563
48.7,304.722,233.832,27.263,1242.563
49.7,304.722,329.253,27.263,1242.563
50.7,304.722,424.673,27.263,1242.563
51.7,304.722,521.142,27.263,1242.563
52.7,304.722,611.32,27.263,1242.563
53.7,304.722,703.594,27.263,1242.563
54.7,304.722,76.546,27.263,1242.563
55.7,304.722,169.869,27.263,1242.563
